time,true_temperature,measured_temperature,lkf_estimate,ekf_estimate,laser_power,lkf_error_cov,ekf_error_cov
0.0,300.8132054789987,300.22064783191587,300.6579487432991,300.39145256595276,100.0,2.8461229362972826,2.8536957285362563
0.1,303.46947326525896,299.1325147377644,302.12225254017676,301.4218527983659,100.0,1.6523144580559905,1.6638083826828889
0.2,306.1187801244512,307.24861202428735,306.13597483903686,305.01132001115485,100.0,1.1624010587656952,1.1756778747868775
0.30000000000000004,308.76110248318463,308.5915618840719,309.42435553061057,307.87217875441263,100.0,0.8966367447622826,0.9108731099733888
0.4,311.3964164356856,311.63780629348764,312.6937085590504,310.72288197825236,100.0,0.7305247261843529,0.7453356870633204
0.5,314.0246977506302,314.10498408645384,315.85586637296257,313.4748442781706,100.0,0.6173552722882839,0.6325285069722001
0.6000000000000001,316.64592187812997,317.9286305803965,319.1291443174756,316.3528541405795,100.0,0.5356594391737874,0.5510663218024283
0.7000000000000001,319.26006395686784,316.9013610356076,321.8931010674489,318.7178948551206,100.0,0.4741880035739744,0.4897439022686856
0.8,321.8670988213834,321.64791118150794,324.91818222627455,321.36510593875187,100.0,0.4264765260300627,0.44212597201566034
0.9,324.46700100950585,324.87213551707094,327.97762405776353,324.0611293962875,100.0,0.3885454309223019,0.4042473662640916
1.0,327.05974476993157,328.15337931871954,331.0632468688397,326.7981653497355,100.0,0.35781038908556606,0.3735343685029268
1.1,329.6453040699458,330.83029224370847,334.1146976612091,329.51360971964476,100.0,0.3325198637738994,0.3482427538786718
1.2000000000000002,332.2236526032853,335.02056747884376,337.25340119680584,332.3351330449731,100.0,0.31144447152290805,0.32714857518976254
1.3,334.79476379814025,335.88175639468716,340.2146525823473,334.9847457511718,100.0,0.2936957621356585,0.3093668273392066
1.4000000000000001,337.3586108252934,340.5316119208023,343.2912845792488,337.77089688109794,100.0,0.27861559698393995,0.29424300576530305
1.5,339.9151666063937,339.2659057077563,346.0683310728669,340.2551057982359,100.0,0.2657059948328161,0.28128073415885485
1.6,342.46440382236256,341.937895496962,348.84020121652753,342.74834368353254,100.0,0.2545831662574194,0.2700990650541442
1.7000000000000002,345.0062949219302,347.1892736947199,351.76290253186477,345.41653343672425,100.0,0.2449465348700015,0.2603985511057285
1.8,347.54081213029923,349.1846928671011,354.62115311794724,348.03109356467996,100.0,0.23655733781434432,0.25194074152938456
1.9000000000000001,350.0679274579335,352.4027039495343,357.49118375333364,350.6731015590256,100.0,0.22922351844355915,0.24453460851584657
2.0,352.58761270946883,354.3581520263121,360.2994142128132,353.2639543458966,100.0,0.22278885285098815,0.23802448277617422
