time,true_temperature,measured_temperature,lkf_estimate,ekf_estimate,laser_power,lkf_error_cov,ekf_error_cov
0.0,300.8132054789987,301.8873995145955,301.84389379159575,301.58055310530114,100.0,2.8461229362972826,2.8536957285362563
0.1,303.46947326525896,308.70530677429565,306.76760529157553,306.0963399275573,100.0,1.6523144580559905,1.6637947302763751
0.2,306.1187801244512,304.5381153390883,308.6199517883863,307.5066062509988,100.0,1.1624010587656952,1.175624534296795
0.30000000000000004,308.76110248318463,309.24375452522895,311.4838239086687,309.94268214498084,100.0,0.8966367447622826,0.9108201084281985
0.4,311.3964164356856,311.70245728520416,314.3767220734491,312.41516219192795,100.0,0.7305247261843529,0.7452852825497105
0.5,314.0246977506302,311.5757905770603,316.8785093693889,314.495805959857,100.0,0.6173552722882839,0.6324816867684393
0.6000000000000001,316.64592187812997,316.9747954416276,319.880720555329,317.09938963371764,100.0,0.5356594391737874,0.5510255457139224
0.7000000000000001,319.26006395686784,323.30501026890687,323.3099363113831,320.15526008749566,100.0,0.4741880035739744,0.48970853810712933
0.8,321.8670988213834,325.0914028153972,326.54197001716966,323.0207087203956,100.0,0.4264765260300627,0.44209075929509917
0.9,324.46700100950585,323.56439984111574,329.30608223266677,325.4131897425527,100.0,0.3885454309223019,0.4042110877464022
1.0,327.05974476993157,328.39558223972585,332.2858137993234,328.04319780919536,100.0,0.35781038908556606,0.3734985586884998
1.1,329.6453040699458,327.1845087953618,334.92447545869095,330.3297177956245,100.0,0.3325198637738994,0.3482076762369559
1.2000000000000002,332.2236526032853,332.77441743559274,337.8198562041447,332.8986946644072,100.0,0.31144447152290805,0.3271157791111452
1.3,334.79476379814025,333.5638486873309,340.5655413952165,335.3240008804553,100.0,0.2936957621356585,0.30933681100474697
1.4000000000000001,337.3586108252934,341.1331474991227,343.65727782132865,338.12853366458563,100.0,0.27861559698393995,0.2942160758648967
1.5,339.9151666063937,338.57226598002563,346.3614726586905,340.53788123498026,100.0,0.2657059948328161,0.28125624352377776
1.6,342.46440382236256,339.9606561633293,348.9868632388492,342.87777266912815,100.0,0.2545831662574194,0.2700768529968602
1.7000000000000002,345.0062949219302,344.7034110026781,351.7473647521676,345.3753619192754,100.0,0.2449465348700015,0.2603787836271889
1.8,347.54081213029923,352.19428365371164,354.7846248485998,348.182168753484,100.0,0.23655733781434432,0.25192363282376057
1.9000000000000001,350.0679274579335,347.1165045764469,357.34124600794064,350.49137478231717,100.0,0.22922351844355915,0.2445190891438109
2.0,352.58761270946883,352.321145314547,360.045393000107,352.9723332506373,100.0,0.22278885285098815,0.23801146327326483
2.1,355.09983949274414,358.0016946669924,362.9042434489369,355.63316749513467,100.0,0.21712498702282068,0.23227223653535223
2.2,357.60457922794836,356.88612203879023,365.5392814342569,358.0688403689797,100.0,0.21212551377194014,0.2271948147455549
2.3000000000000003,360.10180315688183,359.8655227224434,368.1842917396582,360.529298043179,100.0,0.20770150415018102,0.22269144699242055
2.4000000000000004,362.5914823523287,360.7844702923288,370.7318728809586,362.89915976659194,100.0,0.20377809240557365,0.21868743430457302
2.5,365.07358772753685,362.77932764176546,373.2434613767084,365.24403352184345,100.0,0.20029183507042864,0.2151198485938318
2.6,367.5480900458031,370.0617848623881,375.98156731123004,367.84579928106535,100.0,0.1971886463712866,0.2119348254011103
2.7,370.0149599301597,364.52256454661614,378.3028704377332,370.01276221412684,100.0,0.19442216789582514,0.2090852508587883
2.8000000000000003,372.4741678731592,371.43721026298243,380.8376062272921,372.42218651172414,100.0,0.1919524691302375,0.20653281391063855
2.9000000000000004,374.9256842467547,375.40522877741137,383.4283693182765,374.904651502521,100.0,0.18974500270654787,0.20424214452013095
3.0,377.36947931227115,377.4637651345547,385.9805019945434,377.3580086550081,100.0,0.18776975761975478,0.20218305043515253
3.1,379.80552323046516,372.7160212292819,388.17959359150734,379.44328871503285,100.0,0.18600056769852305,0.20032953380016122
3.2,382.2337860716695,383.38844265115233,390.7606398590045,381.9516907543508,100.0,0.18441454285604003,0.1986599904397131
3.3000000000000003,384.6542378260181,384.5141492743821,393.2600956443304,384.3837233079963,100.0,0.18299159820871513,0.1971528171986268
3.4000000000000004,387.06684841374863,386.570607701101,395.7251485829096,386.78985304727627,100.0,0.18171406178726116,0.19579065314541613
3.5,389.4715876955783,387.28187542833933,398.09681093521226,389.10616854784945,100.0,0.18056634580606953,0.19455801348831292
3.6,391.86842548314957,392.5880146704467,400.58676962065334,391.5603860909495,100.0,0.17953466967591888,0.19344142572330505
3.7,394.2573315495412,395.02789038902114,403.059280667669,394.00593169913134,100.0,0.1786068254082811,0.19242816831910356
3.8000000000000003,396.6382756398414,395.0204406490696,405.40629196401,396.3260491619834,100.0,0.177771977958808,0.19150744146400941
3.9000000000000004,399.0112274817783,399.1315436767338,407.81723945600277,398.7244289977575,100.0,0.17702049453272165,0.19067005109245203
4.0,401.3761567964042,403.5688081515969,410.3024370430943,401.2118249627313,100.0,0.17634379802839134,0.18990709674533848
4.1000000000000005,403.7330333088293,403.75370529750563,412.67051369135163,403.5818272647395,100.0,0.17573424070334795,0.1892105899614338
4.2,406.08182675900053,407.00579455962105,415.06225854722356,405.9856588683887,100.0,0.17518499486607214,0.18857412986423058
4.3,408.42250691252104,409.37158732808217,417.4374185316683,408.3796513287267,100.0,0.17468995796976425,0.18799145420385033
4.4,410.75504357150686,411.29764267035085,419.7775743782637,410.74365297038753,100.0,0.1742436699432666,0.18745711295136983
4.5,413.0794065854752,415.90899677802173,422.2011871892969,413.204746598791,100.0,0.17384124096401468,0.18696629791547204
4.6000000000000005,415.3955658622607,413.12607552660955,424.38287245500715,415.41273119365286,100.0,0.17347828817725283,0.18651422403097975
4.7,417.7034913789548,416.9405045476373,426.6211470123965,417.68823236090935,100.0,0.17315088010937052,0.18609790783603633
4.800000000000001,420.0031531928644,421.14303943856265,428.9296088752168,420.0455226452337,100.0,0.1728554877224413,0.1857134766818168
4.9,422.2945214524835,419.4652717688904,431.0506896530437,422.20763531080377,100.0,0.1725889412207378,0.18535738712205616
5.0,424.57756640847566,426.55625315293855,433.3720005786399,424.5905026069452,100.0,0.1723483918551058,0.1850275173078906
5.1000000000000005,426.85225842466065,426.75971649656987,435.58654197510555,426.8642667084509,100.0,0.1721312780830977,0.18472035248264862
5.2,429.1185679890012,432.2398063881595,437.92661789979593,429.27789858016223,100.0,0.17193529553604026,0.1844340055189359
5.300000000000001,431.3764657245855,430.4089896434873,440.07170997399874,431.48736808228045,100.0,0.1717583703222048,0.1841657966995059
5.4,433.6259224006004,435.9105982515917,442.3463934737694,433.84040673150935,100.0,0.171598635260736,0.18391467957069976
5.5,435.86690894329035,437.2127786823408,444.56393425743727,436.13661896706117,100.0,0.17145440869619932,0.1836783224165085
